SpName,TableName
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,STAG_PAYLIFE_STAG_TBIILIFE_INSURED_FINAL
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,FOND_PAYLIFE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,FOND_ETL5_PAYLIFE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,FOND_ETL5_PAYLIFE_FYP_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_LIFEASIA_DRIVER_DETAIL_PER_ACCOUNT_VALUE
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PRUEMAS_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PRUAMAN_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PRUAMAN_SHARIA_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PAYLIFE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_CREDITSHIELD_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_IFRS17_ETL5_PROC_LOG
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,USP_GetRunIdReturn
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,FOND_PRE_ALLOC_PASS_THROUGH_EXTRACT
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,FOND_ETL5_SUNGL_EXTRACT
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,FOND_ETL5_IFRS4_SUNGL
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,FOND_ETL5_PRE_ALLOCATED_BALANCE_CHECK
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,FOND_IFRS17_ETL5_PROC_LOG
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,"FOND_ETL5_PRE_ALLOCATED_BALANCE_CHECK,@V_TOTAL_ROWS,MTD,@V_PERIOD"
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,USP_LOAD_ETL5_MANUAL_CONFIG
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,USP_GetRunIdReturn
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,FOND_IFRS17_PROC_LOG
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_BIN_ACCOUNT_CONFIG_DQ_DDLREF
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_BIN_ACCOUNT_CONFIG_ALL
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_CATEGORY_PORTOFOLIO_CONFIG_DQ_DDLREF
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_CATEGORY_PORTOFOLIO_CONFIG_ALL
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_EXCLUSION_CONFIG_DQ_DDLREF
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_EXCLUSION_CONFIG_ALL
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PLAI_ALLOCATION_MAPPING_DQ_DDLREF
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PLAI_ALLOCATION_MAPPING_ALL
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PLAI_CLASSIFICATION_MAPPING_DQ_DDLREF
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PLAI_CLASSIFICATION_MAPPING_ALL
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PRE_ALLOCATED_CONFIGURATION_TABLE_DQ_DDLREF
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PRE_ALLOCATED_CONFIGURATION_TABLE_ALL
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_REINSURANCE_CONFIG_TABLE_DQ_DDLREF
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_REINSURANCE_CONFIG_TABLE_ALL
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PAR_VFA_OFFSET_CONFIG_DQ_DDLREF
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PAR_VFA_OFFSET_CONFIG_ALL
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,FOND_ETL5_EXCLUSION_CONFIG
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,FOND_ETL5_BIN_ACCOUNT_CONFIG
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_BIN_ACCOUNT_CONFIG_DQ_DDLREF_EXTTB
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,FOND_IFRS17_ETL5_PROC_LOG
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_CATEGORY_PORTOFOLIO_CONFIG_DQ_DDLREF_EXTTB
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_EXCLUSION_CONFIG_DQ_DDLREF_EXTTB
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PLAI_ALLOCATION_MAPPING_DQ_DDLREF_EXTTB
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PLAI_CLASSIFICATION_MAPPING_DQ_DDLREF_EXTTB
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PRE_ALLOCATED_CONFIGURATION_TABLE_DQ_DDLREF_EXTTB
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_REINSURANCE_CONFIG_TABLE_DQ_DDLREF_EXTTB
STAG_ID.USP_LOAD_ETL5_MANUAL_CONFIG.sql,STAG_PAR_VFA_OFFSET_CONFIG_DQ_DDLREF_EXTTB
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,USP_LOAD_ETL5_DRIVER_MASTER
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_ETL5_DRIVER_MASTER
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_ETL5_NOP_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_ETL5_PERSISTENCY_COMMISSION_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_ETL5_RENEWAL_PREMIUM_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_ETL5_FYP_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_IFRS17_ICG_STORES
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_ETL5_RENOVA_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_ETL5_DRIVER_MASTER_INVALID
FOND_ID.USP_LOAD_ETL5_DRIVER_MASTER.sql,FOND_IFRS17_ETL5_PROC_LOG
FOND_ID.USP_LOAD_ETL5_RHO_BEL_REPORT.sql,USP_LOAD_ETL5_RHO_BEL_REPORT
FOND_ID.USP_LOAD_ETL5_RHO_BEL_REPORT.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_RHO_BEL_REPORT.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_RHO_BEL_REPORT.sql,STAG_CONFIG_BEL_MANUAL_GROUP
FOND_ID.USP_LOAD_ETL5_RHO_BEL_REPORT.sql,STAG_VALIDATION_BEL_SAS_DATA
FOND_ID.USP_LOAD_ETL5_RHO_BEL_REPORT.sql,FOND_ETL5_RHO_BEL_RPT_DETAIL_RECONCILE
FOND_ID.USP_LOAD_ETL5_RHO_BEL_REPORT.sql,FOND_ETL5_RHO_BEL_RPT_DETAIL_BREAKDOWN
FOND_ID.USP_LOAD_ETL5_RHO_BEL_REPORT.sql,FOND_ETL5_RHO_BEL_RPT_SUMMARY
FOND_ID.USP_LOAD_ETL5_COMMISSION_SPLIT.sql,USP_LOAD_ETL5_COMMISSION_SPLIT
FOND_ID.USP_LOAD_ETL5_COMMISSION_SPLIT.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_COMMISSION_SPLIT.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_COMMISSION_SPLIT.sql,STAG_CONFIG_ETL5_COMMISSION_LIST_CONFIG
FOND_ID.USP_LOAD_ETL5_COMMISSION_SPLIT.sql,STAG_SUNGL_ABSTR_IFRS4_SUNGL
FOND_ID.USP_LOAD_ETL5_COMMISSION_SPLIT.sql,FOND_ETL5_COMMISSION_SPLIT_VALIDATION
FOND_ID.USP_LOAD_ETL5_COMMISSION_SPLIT.sql,FOND_ETL5_COMMISSION_SPLIT_SUMMARY
FOND_ID.USP_LOAD_ETL5_CREDITSHIELD_DRIVER_DETAIL.sql,USP_LOAD_ETL5_CREDITSHIELD_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_CREDITSHIELD_DRIVER_DETAIL.sql,USP_LOAD_ETL5_CREDITSHEILD_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_CREDITSHIELD_DRIVER_DETAIL.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_CREDITSHIELD_DRIVER_DETAIL.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_CREDITSHIELD_DRIVER_DETAIL.sql,STAG_CREDITSHIELD_STAG_PREMI
FOND_ID.USP_LOAD_ETL5_CREDITSHIELD_DRIVER_DETAIL.sql,STAG_CREDITSHIELD_STAG_ETL1_POLICY_RELATED
FOND_ID.USP_LOAD_ETL5_CREDITSHIELD_DRIVER_DETAIL.sql,FOND_ETL5_CREDITSHIELD_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_CREDITSHIELD_DRIVER_DETAIL.sql,FOND_ETL5_CREDITSHIELD_FYP_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_BIN_ACCOUNT_CONFIG_SEP_TMP_SPLITTING+@yearmonth++
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_SUNGL_EXTRACT_SEP_TMP_SPLITTING+@yearmonth++
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_PLAI_FOND_ETL5_SUNGL_EXCLUDED_SEP_TMP_SPLITTING+@yearmonth++
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_EXCLUSION_CONFIG_SEP_TMP_SPLITTING+@yearmonth+
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_BIN_ACCOUNT_CONFIG
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_SUNGL_EXTRACT
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_PLAI_FOND_ETL5_SUNGL_EXCLUDED
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_EXCLUSION_CONFIG
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,USP_LOAD_ETL5_SUNGL_EXTRACT_SPLITTING
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,USP_LOAD_ETL5_SUNGL_EXTRACT_EXCLUDED_SPLITTING
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_SUNGL_EXTRACT_EXCLUSION
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_PLAI_FOND_ETL5_SUNGL_EXCLUDED_EXCLUSION
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_BIN_ACCOUNT_CONFIG_SEP_TMP_SPLITTING+@yearmonth+
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_SUNGL_EXTRACT_SEP_TMP_SPLITTING+@yearmonth+
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_PLAI_FOND_ETL5_SUNGL_EXCLUDED_SEP_TMP_SPLITTING+@yearmonth+
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_ETL5_SUNGL_EXTRACT_BIN
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,FOND_PLAI_FOND_ETL5_SUNGL_EXCLUDED_BIN
FOND_ID.USP_LOAD_ETL5_SUNGL_EXTRACT_BINEXCLUSION_SEPARATION_SPLITTING.sql,STAG_SUNGL_ABSTR_IFRS4_SUNGL
FOND_ID.USP_LOAD_ETL5_PRE_COVERAGE_RUNOFF_SPLITTING.sql,USP_LOAD_ETL5_PRE_COVERAGE_RUNOFF_SPLITTING
FOND_ID.USP_LOAD_ETL5_PRE_COVERAGE_RUNOFF_SPLITTING.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_PRE_COVERAGE_RUNOFF_SPLITTING.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_PRE_COVERAGE_RUNOFF_SPLITTING.sql,STAG_CONFIG_STAG_PRE_COVERAGE_ETL5_COMPENSATION_SCHEME_CONFIG
FOND_ID.USP_LOAD_ETL5_PRE_COVERAGE_RUNOFF_SPLITTING.sql,FOND_ETL5_PRE_COVERAGE_RUNOFF
FOND_ID.USP_LOAD_ETL5_PRE_COVERAGE_RUNOFF_SPLITTING.sql,FOND_ETL5_PRE_COVERAGE
FOND_ID.USP_LOAD_ETL5_PRE_COVERAGE_RUNOFF_SPLITTING.sql,FOND_IFRS17_ETL5_PROC_LOG
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,FOND_ETL5_RI_CAT_PREMIUM
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,USP_LOAD_ETL5_RI_CAT_LOADTOSTAG
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,STAG_ETL5_RI_CAT_PRE_ALLOCATED
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,STAG_CONFIG_STAG_ETL5_RI_CAT_PREMIUM_CONFIG
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,STAG_CONFIG_ABST_FINANCE_CONFIG
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,FOND_ETL5_IBNR_PRE_ALLOCATED
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,FOND_PRE_ALLOC_PASS_THROUGH_EXTRACT
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,FOND_IFRS17_ETL5_PROC_LOG
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_MIX_APE_NOP_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,STAG_CONFIG_MIX_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_APE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_NOP_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_RATIO_AND_ALLOCATION
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_DETAIL_TOTAL_RATIO
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_DETAIL_TOTAL_RATIO_POLICY
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_DETAIL_ALL_RATIO
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_DETAIL_MIX
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,FOND_IFRS17_ICG_STORES
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,STAG_CONFIG_RENOVA_ETL1_MAPPING
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,STAG_CONFIG_IFRS17_PORTFOLIO_MAPPING
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,FOND_ETL5_LIFEASIA_DRIVER_DETAIL_RENOVA
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,FOND_ETL5_RENOVA_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,FOND_IFRS17_ETL5_PROC_LOG
FOND_ID.USP_LOAD_ETL5_SUNGL_ZERO_AUTOMATION.sql,USP_LOAD_ETL5_SUNGL_ZERO_AUTOMATION
FOND_ID.USP_LOAD_ETL5_SUNGL_ZERO_AUTOMATION.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_SUNGL_ZERO_AUTOMATION.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_SUNGL_ZERO_AUTOMATION.sql,FOND_ETL5_IFRS4_SUNGL
